C4A,P0C0L4,,
C4B,P0C0L5,,
C4B_2,P01031,,
C5,Q9P296,,
C5AR2,F2Z3F1,,
C5orf67,Q9BRJ6,,
C7orf50,Q96NL8,,
CFAP418,Q9NS85,,
CA10,P00918,,
CA2,P22748,,
CA4,P35218,,
CA5A,Q13936,,
CACNA1C,Q01668,,
CACNA1D,Q15878,,
CACNA1E,P54284,,
CACNB3,O76075,,
DFFB,P27708,,
CAD,Q05682,,
CALD1,Q8N3J6,,
CADM2,P01258,,
CALCA,P06881,,
CALCA,Q13137,,
CALCOCO2,P30988,,
CALCR,P0DP23,,
CALM1,P27797,,
CALR,Q8IU85,,
CAMK1D,Q9UQM7,,
CAMK2A,Q13555,,
CAMK2G,Q7Z7J9,,
CAMK2N1,Q96RR4,,
CAMKK2,P49913,,
CAMP,Q96JM3,,
CHAMP1,Q9Y6Y1,,
CAMTA1,O75155,,
CAND2,Q01518,,
CAP1,P07384,,
CAPN1,P17655,,
CAPN2,P20807,,
CAPN3,O15484,,
CAPN5,O14815,,
CAPN9,Q9Y2G2,,
CARD8,Q86X55,,
CARM1,Q16568,,
CARTPT,Q6XLA1,,
CASC2,Q8IU53,,
CASC2,P29466,,
CASP1,Q6UXS9,,
CASP12,P55210,,
CASP7,P31415,,
CASQ1,P41180,,
CASR,Q86V15,,
CASZ1,Q03135,,
CAV1,P51636,,
CAV2,P56539,,
CAV3,P27352,,
CBLIF,Q8N7E2,,
CBLL2,P16152,,
CBR1,O75828,,
CBR3,Q8N163,,
CCAR2,Q6ZUS6,,
CCDC149,Q8TD31,,
CCHCR1,P06307,,
CCK,P32238,,
CCKAR,P32239,,
CCKBR,P51671,,
CCL11,O15467,,
CCL16,P13500,,
CCL2,P78556,,
CCL20,O00626,,
CCL22,Q9Y4X3,,
CCL27,Q9NRJ3,,
CCL28,P10147,,
CCL3,P13236,,
CCL4,P13501,,
CCL5,P80098,,
CCL7,P80075,,
CCL8,P29279,,
CCN2,P48745,,
CCN3,O95388,,
CCN4,P30281,,
CCND3,P49736,,
MCM2,Q9UK58,,
CCNL1,Q8N1B3,,
CCNQ,P32246,,
CCR1,P41597,,
CCR2,P51681,,
CCR5,O00421,,
CCRL2,P08571,,
CD14,Q86VB7,,
CD163,Q15762,,
CD226,P20963,,
CD247,Q9NZQ7,,
CD274,Q9Y5K6,,
CD2AP,Q08708,,
CD300C,Q6UXG3,,
CD300LG,P20138,,
CD33,P28906,,
CD34,P16671,,
CD36,P28907,,
CD38,P01730,,
CD4,P29965,,
CD40LG,P16070,,
CD44,P09326,,
CD48,P13987,,
CD59,O43866,,
CD5L,P34810,,
CD68,P60033,,
CD81,P42081,,
CD86,O75794,,
CDC123,P60953,,
CDC42,P55290,,
CDH13,P19022,,
CDH2,Q96JP9,,
CDHR1,Q9UQ88,,
CDK11A,P24941,,
CDK2,P11802,,
CDK4,Q00535,,
CDK5,Q00534,,
CDK6,P50750,,
CDK9,P38936,,
CDKN1A,P46527,,
CDKN1B,P49918,,
CDKN1C,P42771,,
CDKN2A,Q8N726,,
CDKN2A,P42772,,
CDKN2B,Q00526,,
CDK3,Q16667,,
CDKN3,Q99626,,
CDX2,P40198,,
CEACAM3,P06731,,
CEACAM5,Q14002,,
CEACAM7,P49715,,
CEBPA,P17676,,
CEBPB,P19835,,
CEL,Q9UNI1,,
CELA1,P09093,,
CELA3A,Q9BZC1,,
CELF4,Q9NYQ6,,
CELSR1,Q9HCU4,,
CELSR2,P49450,,
CENPA,Q9HC77,,
CENPJ,A8MT69,,
CENPX,Q53EZ4,,
CEP55,Q76N32,,
CEP68,Q9NQ79,,
CRTAC1,Q49MI3,,
CERKL,Q6ZMG9,,
CERS6,P02795,,
MT2A,P23141,,
CES1,P11597,,
CETP,Q6ZQR2,,
CFAP77,Q9P2B7,,
CFAP97,P00751,,
CFB,P00746,,
CFD,P08603,,
CFH,P36980,,
CFHR2,P13569,,
CFTR,P01215,,
CGA,P0DN86,,
CGB3,Q5T1J5,,
CGB5,Q9BRQ6,,
CGB8,Q9HCK8,,
CHCHD2P9,Q8NE62,,
CHCHD6,O96017,,
CHD8,P10645,,
CHDH,P36222,,
CHEK2,Q13231,,
CHGA,P24386,,
CHI3L1,Q9H444,,
CHIT1,P52757,,
CHM,Q8WUD6,,
CHMP4B,P20309,,
CHN2,P43681,,
CHPT1,P30926,,
CHRM3,Q7LGC8,,
CHRNA4,O15111,,
CHRNB4,Q99828,,
CHST3,O60543,,
CHUK,Q96AQ7,,
CIB1,Q8IUL8,,
CIDEA,Q9NZ45,,
CIDEC,P0C7P0,,
CILP2,Q9NSE2,,
CISD1,Q99967,,
CISD3,P12277,,
CISH,P06732,,
CITED2,P51788,,
CKB,P51790,,
CKM,P51795,,
CLCN2,P51801,,
CLCN3,Q8N6F1,,
CLCN5,P30622,,
CLCNKB,Q9UDT6,,
CLDN19,P49760,,
CLIP1,Q9UBY8,,
CLIP2,O15516,,
CLK2,P04118,,
CLN8,P58418,,
CLOCK,P10909,,
CLPS,P23946,,
CLRN1,Q99788,,
CLU,P62633,,
CMA1,Q96KN2,,
CMKLR1,Q96KP4,,
CNBP,P29973,,
CNDP1,Q14028,,
CNDP2,Q9NRU3,,
CNGA1,P21554,,
CNGB1,P34972,,
CNNM1,P26441,,
CNR1,Q9NXG0,,
CNR2,Q13057,,
CNTF,O75128,,
CNTLN,Q53SF7,,
COASY,Q14746,,
COBL,Q9UMD9,,
COBLL1,P39060,,
COG2,P02452,,
COL17A1,P02458,,
COL18A1,P02461,,
COL1A1,P08572,,
COL2A1,P29400,,
COL3A1,P12111,,
COL4A2,P27658,,
COL4A5,P20849,,
COL6A3,Q14055,,
COL8A1,Q14050,,
COL9A1,Q5KU26,,
COL9A2,P49747,,
COL9A3,P21964,,
COLEC12,P53621,,
COMP,P48444,,
COMT,O00230,,
COPA,P23219,,
ARCN1,Q12887,,
CORT,P00403,,
PTGS1,P35354,,
COX10,P13073,,
MT-CO2,P10606,,
PTGS2,P24310,,
COX4I1,P10176,,
COX5B,P00450,,
COX7A1,P15085,,
COX8A,Q8N4T0,,
CP,Q96IY4,,
CPA1,P16870,,
CPA6,Q8NE35,,
CPB2,A4D0V7,,
CPE,O14810,,
CPEB3,Q92523,,
CPED1,P23786,,
CPLX1,P29373,,
CPT1B,P82279,,
CPT2,P16220,,
CRABP2,Q92793,,
CRB1,Q8IUR6,,
CREB1,Q03060,,
CREBBP,P34998,,
CREBRF,P16562,,
CREM,Q9H0B8,,
CRHR1,P46108,,
CRISP2,Q14194,,
CRISPLD2,P02741,,
CRK,Q6UUV9,,
CRMP1,Q53ET0,,
CRP,O43186,,
CRTC1,Q49AN0,,
CRTC2,Q08257,,
CRX,O75390,,
CRY2,Q9Y600,,
CRYZ,P04141,,
CS,P09919,,
CSAD,Q14406,,
CSF2,P09228,,
CSF3,P01034,,
CSHL1,O76096,,
CST2,Q13363,,
CST3,P49711,,
CST7,Q16619,,
CTBP1,P16410,,
CTCF,Q9UI47,,
CTF1,P35222,,
CTLA4,P17538,,
CTNNA3,P40313,,
CTNNB1,P53634,,
CTRB1,P07339,,
CTRL,P09668,,
CTSC,P07711,,
CTSD,Q8WZ74,,
CTSH,O60494,,
CTSL,P39880,,
CTTNBP2,Q13948,,
CUBN,P78423,,
CUX1,P49238,,
CUX1,P78310,,
CX3CL1,P02778,,
CX3CR1,P48061,,
CXADR,O95715,,
CXCL10,Q9H2A7,,
CXCL12,P42830,,
CXCL14,P10145,,
CXCL16,P25024,,
CXCL5,P49682,,
CXCL8,P61073,,
CXCR1,O00574,,
CXCR3,P00167,,
CXCR4,Q8WUJ1,,
CXCR6,Q7L1T6,,
CYB5A,P04839,,
CYB5D2,P05108,,
CYB5R4,P19099,,
CYBB,P05093,,
CYP11A1,P11511,,
CYP11B2,P04798,,
CYP17A1,Q16678,,
CYP19A1,P08686,,
CYP1A1,Q02318,,
CYP1B1,O15528,,
CYP21A2,P11509,,
CYP27A1,P20813,,
CYP27B1,P33260,,
CYP2A6,P33261,,
CYP2B6,P10632,,
CYP2C18,P11712,,
CYP2C19,P10635,,
CYP2C8,P05181,,
CYP2C9,P51589,,
CYP2D6,Q6VVX0,,
CYP2E1,P08684,,
CYP2J2,P20815,,
CYP2R1,Q9Y6A2,,
CYP3A4,Q08477,,
CYP3A5,Q6ZWL3,,
CYP46A1,P22680,,
CYP4F3,Q9UNU6,,
